scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
0,740.9097290039062,493.57806396484375,0.9972056746482849
1,740.901123046875,493.5595703125,0.9972053170204163
2,740.923095703125,493.56988525390625,0.9971965551376343
3,740.923095703125,493.56988525390625,0.9971965551376343
4,740.923095703125,493.56988525390625,0.9971965551376343
5,740.9093017578125,493.5638122558594,0.9972044825553894
6,740.8988037109375,493.4072265625,0.9971928000450134
7,740.8875732421875,493.3893127441406,0.9972009658813477
8,740.8973388671875,493.3863220214844,0.9971979856491089
9,740.7857666015625,493.4020080566406,0.9972840547561646
10,740.8680419921875,493.44476318359375,0.9973177313804626
11,740.543701171875,493.56365966796875,0.9972608089447021
12,740.3445434570312,493.7539978027344,0.9972904920578003
13,740.1732177734375,493.6441345214844,0.9973205924034119
14,740.2008056640625,493.63134765625,0.9973141551017761
15,740.1824340820312,493.70489501953125,0.9973227381706238
16,740.168701171875,493.6365966796875,0.9973258972167969
17,740.1243286132812,493.5870666503906,0.9973536729812622
18,740.1182250976562,493.6012268066406,0.9973577857017517
19,740.1748657226562,493.8153381347656,0.997313916683197
20,740.1417236328125,493.8658447265625,0.9973257780075073
21,740.1417236328125,493.8656005859375,0.9973243474960327
22,740.1917114257812,493.854736328125,0.9973189234733582
23,740.195068359375,493.8523864746094,0.9973136782646179
24,740.1923828125,493.83782958984375,0.9973092079162598
25,740.177001953125,493.8663330078125,0.9973207116127014
26,740.2433471679688,493.8467712402344,0.9973255395889282
27,740.2452392578125,493.84619140625,0.9973258972167969
28,740.2471313476562,493.8381652832031,0.9973413348197937
29,740.2993774414062,493.84503173828125,0.997342050075531
30,740.294189453125,493.8509521484375,0.9973255395889282
31,740.2952880859375,493.84930419921875,0.9973242282867432
32,740.1754760742188,493.7563171386719,0.9973413348197937
33,740.1746215820312,493.7608337402344,0.9973360896110535
34,740.16357421875,493.7405700683594,0.9973366856575012
35,740.1992797851562,493.7391052246094,0.9973402619361877
36,740.1016235351562,493.9402160644531,0.9973664879798889
37,740.073486328125,493.7394104003906,0.9973376393318176
38,740.0776977539062,493.7274475097656,0.997331976890564
39,740.03173828125,493.70526123046875,0.997340738773346
40,740.017333984375,493.74005126953125,0.9973433613777161
41,740.0463256835938,493.69354248046875,0.9973390698432922
42,740.0563354492188,493.5457763671875,0.9973676800727844
43,740.0997314453125,493.4833984375,0.9973618388175964
44,740.1063232421875,493.5003967285156,0.9973849654197693
45,740.0482788085938,493.6233825683594,0.9974018335342407
46,740.0599975585938,493.6128234863281,0.9974061846733093
47,740.0697021484375,493.5661315917969,0.9973898530006409
48,740.0717163085938,493.56488037109375,0.9973887801170349
49,740.0721435546875,493.5624084472656,0.9973909258842468
50,740.072509765625,493.5628356933594,0.9973903298377991
51,740.0781860351562,493.48297119140625,0.9973746538162231
52,739.993408203125,493.4019470214844,0.9974004030227661
53,739.9991455078125,493.3754577636719,0.9973924160003662
54,739.9347534179688,493.3551940917969,0.9973801970481873
55,739.93408203125,493.355224609375,0.9973793029785156
