scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
0,1111.18212890625,358.3018798828125,0.9983030557632446
1,1111.38232421875,358.3503723144531,0.9981897473335266
2,1111.3807373046875,358.3383483886719,0.998235821723938
3,2.990363597869873,-4.360172271728516,0.00012700777733698487
4,2.990363597869873,-4.360172271728516,0.00012700777733698487
5,2.990363597869873,-4.360172271728516,0.00012700777733698487
6,1111.38232421875,358.3503723144531,0.9981897473335266
7,1111.3807373046875,358.3383483886719,0.998235821723938
8,2.990363597869873,-4.360172271728516,0.00012700777733698487
9,2.990363597869873,-4.360172271728516,0.00012700777733698487
10,2.990363597869873,-4.360172271728516,0.00012700777733698487
11,1111.38232421875,358.3503723144531,0.9981897473335266
12,1111.3807373046875,358.3383483886719,0.998235821723938
13,2.990363597869873,-4.360172271728516,0.00012700777733698487
14,2.990363597869873,-4.360172271728516,0.00012700777733698487
15,2.990363597869873,-4.360172271728516,0.00012700777733698487
16,1111.38232421875,358.3503723144531,0.9981897473335266
17,1111.3807373046875,358.3383483886719,0.998235821723938
18,2.990363597869873,-4.360172271728516,0.00012700777733698487
19,2.990363597869873,-4.360172271728516,0.00012700777733698487
20,2.990363597869873,-4.360172271728516,0.00012700777733698487
21,1111.38232421875,358.3503723144531,0.9981897473335266
22,1111.3807373046875,358.3383483886719,0.998235821723938
23,2.990363597869873,-4.360172271728516,0.00012700777733698487
24,2.990363597869873,-4.360172271728516,0.00012700777733698487
25,2.990363597869873,-4.360172271728516,0.00012700777733698487
26,1111.38232421875,358.3503723144531,0.9981897473335266
27,1111.3807373046875,358.3383483886719,0.998235821723938
28,2.990363597869873,-4.360172271728516,0.00012700777733698487
29,2.990363597869873,-4.360172271728516,0.00012700777733698487
30,2.990363597869873,-4.360172271728516,0.00012700777733698487
31,1111.38232421875,358.3503723144531,0.9981897473335266
32,1111.3807373046875,358.3383483886719,0.998235821723938
33,2.990363597869873,-4.360172271728516,0.00012700777733698487
34,2.990363597869873,-4.360172271728516,0.00012700777733698487
35,2.990363597869873,-4.360172271728516,0.00012700777733698487
36,1111.38232421875,358.3503723144531,0.9981897473335266
37,2.990363597869873,-4.360172271728516,0.00012700777733698487
38,1111.2998046875,358.3861999511719,0.9982079267501831
39,1111.3004150390625,358.3911437988281,0.9982060194015503
40,1111.122802734375,358.40765380859375,0.9982118606567383
41,1111.29052734375,358.4316101074219,0.9981643557548523
42,1111.1824951171875,358.4122009277344,0.9981916546821594
43,1111.1759033203125,358.5090637207031,0.9981340765953064
44,1111.178955078125,358.5077209472656,0.9980930685997009
45,1111.13720703125,358.53558349609375,0.998113751411438
46,1111.0791015625,358.5675964355469,0.9980880618095398
47,1111.0802001953125,358.5658264160156,0.9980916380882263
48,1111.0628662109375,358.51153564453125,0.9981151819229126
49,1111.0509033203125,358.5234069824219,0.9981049299240112
50,1111.129638671875,358.5448303222656,0.9980705380439758
51,1111.0211181640625,358.4736022949219,0.998204231262207
52,1111.01318359375,358.4645690917969,0.9982140064239502
