scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
0,870.720703125,728.2096557617188,0.9986907839775085
1,868.9473266601562,723.260009765625,0.9996596574783325
2,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
3,870.706787109375,728.1668090820312,0.9987486600875854
4,870.7103271484375,728.1642456054688,0.998747706413269
5,871.3086547851562,723.2037963867188,0.9992715716362
6,874.275390625,717.0565795898438,0.9965102076530457
7,879.7213134765625,713.6192016601562,0.9978508949279785
8,881.2979125976562,710.8173828125,0.999701201915741
9,882.5586547851562,708.6182861328125,0.999825656414032
10,878.569091796875,705.87939453125,0.9990529417991638
11,866.6959838867188,697.3751220703125,0.9981533885002136
12,857.1950073242188,693.9620971679688,0.9985114932060242
13,853.2354736328125,690.1228637695312,0.9994601607322693
14,852.8660278320312,686.5255126953125,0.9977904558181763
15,852.606201171875,682.0071411132812,0.9974287152290344
16,850.3534545898438,680.1268920898438,0.9989628791809082
17,849.425537109375,677.9395751953125,0.9995800852775574
18,849.6367797851562,676.420166015625,0.9995730519294739
19,849.280029296875,674.461181640625,0.9994321465492249
20,849.0333251953125,672.5655517578125,0.9990106821060181
21,849.01513671875,671.9376220703125,0.9987866282463074
22,849.0215454101562,671.2293701171875,0.9983596205711365
23,849.3809204101562,670.4759521484375,0.9976504445075989
24,847.7008666992188,669.5072021484375,0.9961930513381958
25,841.3680419921875,667.9931030273438,0.9949404001235962
26,840.0056762695312,660.7772216796875,0.9988248944282532
27,840.50537109375,653.083251953125,0.9950510859489441
28,841.2886962890625,647.7636108398438,0.9984931945800781
29,838.6698608398438,642.5660400390625,0.9993383288383484
30,837.4942016601562,636.8334350585938,0.998336136341095
31,836.919921875,631.4749755859375,0.9994058609008789
32,837.8416137695312,626.119140625,0.9993811845779419
33,839.565673828125,621.994140625,0.996928870677948
34,840.116455078125,618.3302612304688,0.9963088631629944
35,839.8060302734375,613.96435546875,0.9987488985061646
36,839.8966674804688,610.5189819335938,0.9989939332008362
37,840.138916015625,608.4320068359375,0.9985401630401611
38,840.2208251953125,605.885009765625,0.9962814450263977
39,840.2393188476562,604.304931640625,0.9952653646469116
40,840.3621215820312,602.4427490234375,0.9958803653717041
41,840.6014404296875,601.0728759765625,0.9967496395111084
42,841.3908081054688,599.3992919921875,0.998062789440155
43,840.7642211914062,597.9138793945312,0.9984230995178223
44,841.97998046875,595.1885986328125,0.9988985061645508
45,853.8377075195312,594.7618408203125,0.9996185302734375
46,862.3744506835938,592.9924926757812,0.9984192848205566
47,866.2740478515625,588.939697265625,0.9985257983207703
48,868.4301147460938,584.3113403320312,0.9991104006767273
49,871.38134765625,581.2481079101562,0.9993686079978943
50,879.0027465820312,579.4026489257812,0.9992758631706238
51,883.6005859375,572.3314819335938,0.9988335967063904
52,886.272216796875,564.5980224609375,0.9996203184127808
53,888.4464111328125,561.457763671875,0.9988030195236206
54,891.9093627929688,555.7706909179688,0.996148943901062
55,896.4816284179688,550.3569946289062,0.9996280670166016
