scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
0,647.4190673828125,570.831787109375,0.995841920375824
1,646.7206420898438,566.6051025390625,0.998982846736908
2,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
3,647.422607421875,570.8577270507812,0.9959239959716797
4,647.4325561523438,570.8648071289062,0.99591463804245
5,647.5962524414062,563.9878540039062,0.9992831349372864
6,644.2769165039062,558.9630737304688,0.9992438554763794
7,640.6226196289062,555.2874145507812,0.9987107515335083
8,636.0534057617188,551.77099609375,0.9980130195617676
9,632.3124389648438,550.0021362304688,0.9988163709640503
10,628.6964111328125,547.8817138671875,0.9997178912162781
11,625.6642456054688,545.0419311523438,0.9996678829193115
12,623.9098510742188,543.1355590820312,0.9988414645195007
13,619.0341186523438,541.350830078125,0.9951974749565125
14,616.0531005859375,539.6643676757812,0.9961649179458618
15,612.9114379882812,537.729736328125,0.9981424808502197
16,610.6846923828125,536.0989990234375,0.9993438124656677
17,608.9013671875,534.4847412109375,0.9995738863945007
18,607.7293090820312,532.82421875,0.9995661377906799
19,605.7831420898438,531.8117065429688,0.9992101192474365
20,604.4331665039062,530.7887573242188,0.9992427825927734
21,603.02783203125,530.0792846679688,0.9991845488548279
22,601.6199951171875,529.5824584960938,0.9990078806877136
23,600.0697631835938,528.4862060546875,0.998594343662262
24,597.813720703125,527.3162841796875,0.9988180994987488
25,595.9937133789062,525.6218872070312,0.9986186027526855
26,593.7406616210938,524.4306640625,0.9988957643508911
27,593.0717163085938,523.5438232421875,0.9988383650779724
28,591.9423217773438,522.4848022460938,0.9984520673751831
29,591.0171508789062,522.24462890625,0.9974857568740845
30,589.6268920898438,521.2499389648438,0.996334433555603
31,591.33447265625,514.5830078125,0.9994773268699646
32,596.0381469726562,505.6541748046875,0.9979979395866394
33,597.2930908203125,498.19793701171875,0.9995926022529602
34,598.3268432617188,493.24444580078125,0.997832715511322
35,598.7196655273438,489.3378601074219,0.9979442954063416
36,598.2686767578125,484.34521484375,0.9996059536933899
37,597.8460693359375,479.9037780761719,0.9988064765930176
38,597.7163696289062,476.22174072265625,0.9976759552955627
39,597.8164672851562,472.7033386230469,0.9985566735267639
40,597.2672119140625,469.28143310546875,0.9995904564857483
41,596.5081176757812,465.5166931152344,0.9995102882385254
42,595.9127807617188,463.2303161621094,0.998803973197937
43,595.843505859375,459.538818359375,0.9982737302780151
44,595.6016235351562,458.42291259765625,0.9980337023735046
45,594.6830444335938,455.69476318359375,0.9991866946220398
46,594.1290893554688,453.2628479003906,0.9997087121009827
47,593.1085205078125,450.68023681640625,0.9996834993362427
48,592.794189453125,449.92120361328125,0.9996328353881836
49,592.75,448.8569641113281,0.9994813799858093
50,592.583251953125,447.47882080078125,0.9991728663444519
51,592.3609008789062,446.4674072265625,0.9987927675247192
52,596.5875854492188,445.72283935546875,0.998190701007843
53,613.9422607421875,443.7451171875,0.9957039952278137
54,631.92919921875,447.1261901855469,0.9960940480232239
55,647.3716430664062,457.35833740234375,0.9974766373634338
