scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
0,1164.822021484375,405.4690856933594,0.9996013045310974
1,1164.8253173828125,405.4980773925781,0.9996046423912048
2,1164.8240966796875,405.5072326660156,0.9995985627174377
3,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
4,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
5,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
6,1164.1580810546875,405.40582275390625,0.9996159076690674
7,1164.1241455078125,405.35308837890625,0.9996199607849121
8,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
9,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
10,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
11,1164.1580810546875,405.40582275390625,0.9996159076690674
12,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
13,1164.8115234375,405.5082702636719,0.9996073842048645
14,1164.808349609375,405.5079650878906,0.9996080994606018
15,1164.8167724609375,405.54425048828125,0.9996065497398376
16,1164.138916015625,405.6883544921875,0.9996349811553955
17,1163.9158935546875,405.56097412109375,0.9996545314788818
18,1163.92041015625,405.6081848144531,0.9996383190155029
19,1163.9677734375,405.5758972167969,0.9996281862258911
20,1163.8162841796875,405.73028564453125,0.9996222257614136
21,1163.824462890625,405.73486328125,0.9996200799942017
22,1164.0943603515625,405.69476318359375,0.9996142387390137
23,1164.3128662109375,405.605224609375,0.9996174573898315
24,1164.2960205078125,405.5541076660156,0.9996256828308105
25,1164.41357421875,405.63372802734375,0.99960857629776
26,1164.436279296875,405.6324462890625,0.9996063113212585
27,1164.4093017578125,405.634033203125,0.9996289014816284
28,1164.4197998046875,405.6609191894531,0.9996254444122314
29,1164.493408203125,405.6965637207031,0.9996234178543091
30,1164.511474609375,405.7198791503906,0.9996168613433838
31,1164.51171875,405.69110107421875,0.9996166229248047
32,1164.49951171875,405.6571960449219,0.9996200799942017
33,1164.5255126953125,405.6837158203125,0.9996047616004944
34,1164.5360107421875,405.688232421875,0.9996032118797302
35,1164.607666015625,405.8192443847656,0.9995877146720886
36,1164.525390625,405.83441162109375,0.9995724558830261
37,1164.5157470703125,405.8692932128906,0.9995773434638977
38,1164.453125,405.86083984375,0.9995383024215698
39,1164.097900390625,405.77423095703125,0.9995644688606262
40,1163.8260498046875,405.87274169921875,0.9995352029800415
41,1163.9013671875,405.8644104003906,0.9995400905609131
42,1163.8721923828125,405.77191162109375,0.9995381832122803
43,1163.9996337890625,405.519775390625,0.9995638728141785
44,1163.9486083984375,405.5223388671875,0.9995580315589905
45,1164.205810546875,405.5599670410156,0.9995521903038025
46,1164.419921875,405.4953308105469,0.9995653033256531
47,1164.4072265625,405.4902648925781,0.9995664954185486
48,1164.407470703125,405.4991760253906,0.999567449092865
49,1164.4315185546875,405.4956359863281,0.9995699524879456
50,1164.62109375,405.58331298828125,0.9995623230934143
51,1164.6676025390625,405.60595703125,0.9995611310005188
52,1164.6854248046875,405.58978271484375,0.9995700716972351
