scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
0,153.5587615966797,401.86810302734375,0.9953497052192688
1,153.49464416503906,401.4972839355469,0.9947670698165894
2,2.990363597869873,-4.360172271728516,0.00012700777733698487
3,153.06851196289062,402.1341857910156,0.9954906105995178
4,153.0698699951172,402.131103515625,0.9954938888549805
5,153.0720672607422,402.0549621582031,0.9954772591590881
6,153.09864807128906,401.9864807128906,0.9954049587249756
7,153.00184631347656,401.9984130859375,0.9951605200767517
8,152.92642211914062,402.08160400390625,0.9953228831291199
9,152.84361267089844,401.95648193359375,0.9949912428855896
10,152.96336364746094,402.1164245605469,0.99549400806427
11,152.82081604003906,402.0100402832031,0.9953346848487854
12,153.34214782714844,402.0606994628906,0.9956157207489014
13,153.29515075683594,401.97625732421875,0.9954460859298706
14,153.41897583007812,401.821533203125,0.9950417876243591
15,153.3711700439453,401.8746032714844,0.9952034950256348
16,153.2638397216797,402.0393981933594,0.9955188035964966
17,153.25831604003906,402.0191650390625,0.9955350160598755
18,153.18658447265625,402.04840087890625,0.9955108165740967
19,153.176025390625,402.13909912109375,0.9958712458610535
20,153.27969360351562,402.0936279296875,0.9957103729248047
21,152.96604919433594,402.14666748046875,0.9958951473236084
22,152.9706268310547,402.1253662109375,0.9958336353302002
23,152.87704467773438,402.1645812988281,0.996037483215332
24,152.83897399902344,402.15606689453125,0.9960646033287048
25,152.77012634277344,402.14971923828125,0.9959865212440491
26,152.7134246826172,402.2261962890625,0.9961374402046204
27,152.75933837890625,402.1189270019531,0.9960601925849915
28,152.7988739013672,402.24078369140625,0.9961972236633301
29,152.896240234375,402.2165832519531,0.9959077835083008
30,152.75270080566406,402.0841369628906,0.9957959651947021
31,152.7044219970703,402.17852783203125,0.9959697723388672
32,152.64328002929688,401.9844665527344,0.9960299134254456
33,152.65968322753906,401.91400146484375,0.995984673500061
34,152.77481079101562,401.7288513183594,0.9958736300468445
35,153.0849609375,401.50238037109375,0.9955390095710754
36,153.10035705566406,401.6474609375,0.9956511855125427
37,153.12936401367188,401.6512451171875,0.9957019686698914
38,153.15333557128906,401.6675109863281,0.9955745935440063
39,153.08981323242188,401.66839599609375,0.9954977035522461
40,152.84263610839844,401.80975341796875,0.996066153049469
41,152.92161560058594,401.83135986328125,0.9959304928779602
42,152.56512451171875,401.9504089355469,0.9963149428367615
43,152.40086364746094,402.0069885253906,0.9965651631355286
44,152.00506591796875,402.1153564453125,0.9969387054443359
45,152.32843017578125,402.0242004394531,0.9966895580291748
46,152.62237548828125,401.8553771972656,0.9962379932403564
47,153.13180541992188,401.5207214355469,0.9955072402954102
48,153.30532836914062,401.5891418457031,0.9953179359436035
49,153.58050537109375,401.83782958984375,0.9951274394989014
50,153.63966369628906,401.5749206542969,0.9947868585586548
51,153.47203063964844,401.4689025878906,0.9950008988380432
52,153.54576110839844,401.4550476074219,0.9949138164520264
53,153.1058349609375,401.8329772949219,0.9956102967262268
54,153.1746826171875,401.7359313964844,0.9953697323799133
