scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
0,802.230712890625,516.3692626953125,0.9997544884681702
1,802.05419921875,516.0823974609375,0.9997581839561462
2,802.092529296875,516.0623779296875,0.999756395816803
3,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
4,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
5,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
6,802.05419921875,516.0823974609375,0.9997581839561462
7,802.092529296875,516.0623779296875,0.999756395816803
8,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
9,5.721264839172363,-7.271903991699219,1.3970510735816788e-05
10,802.2530517578125,516.2667846679688,0.9997569918632507
11,802.278076171875,516.2554321289062,0.9997575879096985
12,802.3617553710938,516.26611328125,0.9997598528862
13,802.4641723632812,516.0379638671875,0.9997610449790955
14,802.2411499023438,516.0516967773438,0.9997560381889343
15,802.2166137695312,516.0986938476562,0.9997511506080627
16,802.2239379882812,516.0922241210938,0.9997525811195374
17,802.2440185546875,516.1220703125,0.9997524619102478
18,802.2289428710938,516.0933837890625,0.9997535347938538
19,802.4273681640625,516.0477294921875,0.999760091304779
20,802.4164428710938,516.0581665039062,0.9997606873512268
21,802.4281616210938,516.0536499023438,0.9997610449790955
22,802.3824462890625,516.0009155273438,0.9997604489326477
23,802.4298706054688,516.0313720703125,0.9997536540031433
24,802.35888671875,516.1234130859375,0.9997478127479553
25,802.2515258789062,516.106689453125,0.9997443556785583
26,802.1917114257812,516.2466430664062,0.9997453093528748
27,802.186767578125,516.24072265625,0.9997455477714539
28,802.2747802734375,516.1798706054688,0.9997517466545105
29,802.2763671875,516.18017578125,0.9997523427009583
30,802.2761840820312,516.1699829101562,0.9997491240501404
31,802.2711181640625,516.1644287109375,0.9997492432594299
32,802.2692260742188,516.1197509765625,0.999751627445221
33,802.273193359375,516.1276245117188,0.9997513890266418
34,802.0286254882812,516.0164184570312,0.9997393488883972
35,802.035400390625,516.020263671875,0.9997393488883972
36,802.0427856445312,516.028564453125,0.9997392296791077
37,802.0343017578125,515.9557495117188,0.9997406601905823
38,801.9550170898438,516.0264282226562,0.9997419714927673
39,802.2376098632812,515.907470703125,0.9997527003288269
40,802.2423706054688,515.8933715820312,0.9997557997703552
41,802.1879272460938,515.8931884765625,0.9997518658638
42,802.1857299804688,515.9072265625,0.9997504353523254
43,802.13134765625,515.858642578125,0.9997507929801941
44,801.9624633789062,515.8915405273438,0.9997450709342957
45,801.8204956054688,515.933837890625,0.9997450709342957
46,801.807861328125,515.8619995117188,0.9997449517250061
47,801.8480224609375,515.8617553710938,0.9997485280036926
48,801.849853515625,515.8638305664062,0.9997487664222717
49,801.9342651367188,515.89892578125,0.9997524619102478
50,801.9390258789062,515.9066162109375,0.9997560381889343
51,801.9320068359375,515.858154296875,0.9997556805610657
52,801.9301147460938,515.8875732421875,0.9997532963752747
53,801.99951171875,515.9653930664062,0.9997358918190002
54,801.9776611328125,516.0936279296875,0.9997370839118958
