scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
0,723.349365234375,509.9626770019531,0.9990147352218628
1,723.3466796875,509.9622497558594,0.9990129470825195
2,723.3477172851562,509.96246337890625,0.9990129470825195
3,723.3477172851562,509.96246337890625,0.9990129470825195
4,723.3477172851562,509.96246337890625,0.9990129470825195
5,723.6494750976562,509.93603515625,0.9990537762641907
6,723.6279907226562,509.88482666015625,0.9990494847297668
7,723.5977172851562,509.958984375,0.9990777969360352
8,723.5574340820312,509.9543151855469,0.9990703463554382
9,723.654541015625,509.8946228027344,0.9990336894989014
10,723.2134399414062,509.86419677734375,0.9989709854125977
11,723.1923828125,509.98529052734375,0.9990179538726807
12,723.15771484375,509.7920837402344,0.9989621639251709
13,723.1978759765625,509.8334045410156,0.9989839196205139
14,723.5155639648438,509.918701171875,0.9990257024765015
15,723.508056640625,509.88983154296875,0.999021053314209
16,723.5052490234375,509.92742919921875,0.999047577381134
17,723.505615234375,509.9642333984375,0.9990667700767517
18,723.4755249023438,509.8382263183594,0.9990123510360718
19,723.3037109375,509.7637634277344,0.9990253448486328
20,723.2903442382812,509.6984558105469,0.9989639520645142
21,723.3087158203125,509.6907958984375,0.998967170715332
22,723.3099975585938,509.7202453613281,0.998978853225708
23,723.3037719726562,509.6976318359375,0.9989718198776245
24,723.4183959960938,510.00958251953125,0.9990701079368591
25,723.3560180664062,509.93865966796875,0.9990968704223633
26,723.3553466796875,509.9254455566406,0.9990839958190918
27,723.3919677734375,510.0700988769531,0.9991149306297302
28,723.348876953125,510.0426940917969,0.9991137385368347
29,723.1532592773438,510.1933288574219,0.9991438388824463
30,723.1591796875,510.19775390625,0.9991500377655029
31,723.16259765625,510.07659912109375,0.9991146922111511
32,723.153564453125,510.07867431640625,0.9991135001182556
33,723.2171630859375,510.0098571777344,0.9990625977516174
34,723.2230834960938,510.00897216796875,0.999062716960907
35,723.2918701171875,509.9570007324219,0.9990662932395935
36,723.2789306640625,509.96197509765625,0.9990670084953308
37,723.2767333984375,509.97137451171875,0.9990646243095398
38,723.3009033203125,509.9817199707031,0.9990895986557007
39,723.0802001953125,509.7970886230469,0.9989960789680481
40,723.0296630859375,509.81060791015625,0.9989894032478333
41,723.04443359375,509.8103942871094,0.9989855885505676
42,723.1543579101562,509.8777160644531,0.9989773035049438
43,723.1471557617188,509.8866271972656,0.9989809393882751
44,723.4243774414062,510.0953369140625,0.9991255402565002
45,723.498046875,510.04595947265625,0.9991170763969421
46,723.3279418945312,510.00384521484375,0.999096155166626
47,723.3193359375,510.03778076171875,0.9990981817245483
48,723.3323364257812,510.04852294921875,0.9991008043289185
49,723.23876953125,510.0314636230469,0.9991175532341003
50,723.157958984375,510.041015625,0.9990869760513306
51,723.1270141601562,510.02862548828125,0.9990839958190918
52,723.1453857421875,510.0316162109375,0.9990894794464111
53,723.1481323242188,510.0244140625,0.9990904331207275
54,723.0851440429688,509.9664306640625,0.999045193195343
55,723.064453125,509.8881530761719,0.9990012049674988
