scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
0,784.1859130859375,625.6927490234375,0.9985904097557068
1,784.1795043945312,625.6735229492188,0.998579740524292
2,784.38916015625,625.8784790039062,0.998691976070404
3,783.1289672851562,625.1344604492188,0.9976630210876465
4,783.1292724609375,625.1337280273438,0.9976670742034912
5,783.6826171875,625.2232055664062,0.9980646967887878
6,781.3856811523438,623.3531494140625,0.9942130446434021
7,781.029541015625,623.4717407226562,0.9946767091751099
8,780.5753173828125,622.9437255859375,0.9934422969818115
9,780.0870361328125,622.4524536132812,0.9914519786834717
10,780.5751342773438,622.7236328125,0.992472767829895
11,779.6659545898438,622.0734252929688,0.991496741771698
12,779.7052612304688,622.074462890625,0.9914679527282715
13,779.6781005859375,621.8460083007812,0.9912413358688354
14,779.6076049804688,621.8945922851562,0.9913575649261475
15,779.5360717773438,622.0845336914062,0.9914498925209045
16,779.5491333007812,621.7777099609375,0.9912846088409424
17,779.5811767578125,622.1044311523438,0.9912765026092529
18,779.3645629882812,623.3446044921875,0.9937204122543335
19,779.29052734375,623.461181640625,0.9940001964569092
20,779.509765625,624.1346435546875,0.9955142140388489
21,779.4931640625,624.1934204101562,0.9956101775169373
22,779.5551147460938,624.1555786132812,0.9956116080284119
23,779.547119140625,624.14306640625,0.9955912828445435
24,779.6985473632812,624.0174560546875,0.9953905344009399
25,779.5636596679688,624.0133056640625,0.995410144329071
26,778.6408081054688,621.621337890625,0.991071343421936
27,777.609375,618.9956665039062,0.9895051121711731
28,777.7615966796875,616.7141723632812,0.9934520721435547
29,777.3655395507812,615.7545166015625,0.9952217936515808
30,776.7635498046875,615.388916015625,0.995834469795227
31,776.7210083007812,615.4299926757812,0.9957811832427979
32,776.748046875,615.431396484375,0.9957410097122192
33,776.8239135742188,615.114013671875,0.9961652755737305
34,775.48828125,613.9520263671875,0.9984793066978455
35,773.0568237304688,611.614990234375,0.999157190322876
36,769.3517456054688,609.0927734375,0.9983928799629211
37,764.8485107421875,607.9779052734375,0.994763970375061
38,763.5865478515625,608.0214233398438,0.9955433011054993
39,762.6198120117188,608.323974609375,0.9964588284492493
40,761.9971313476562,608.125,0.9964982271194458
41,759.8500366210938,603.6488647460938,0.995388388633728
42,757.9691772460938,594.8169555664062,0.9991351962089539
43,759.8663940429688,576.7975463867188,0.997306227684021
44,763.3292846679688,561.3151245117188,0.9961411356925964
45,765.8854370117188,551.25732421875,0.9965543746948242
46,766.1514892578125,545.5175170898438,0.9966771602630615
47,765.84521484375,540.0462036132812,0.9928935170173645
48,764.9840698242188,533.8412475585938,0.9976369142532349
49,764.8236083984375,530.9481201171875,0.9975382089614868
50,764.3795166015625,527.2817993164062,0.9933344125747681
51,765.307373046875,523.7646484375,0.9902822971343994
52,765.822021484375,519.382080078125,0.9967350363731384
53,770.85302734375,516.482177734375,0.9992769360542297
54,780.1375732421875,516.0284423828125,0.9977512955665588
55,789.4694213867188,514.9129638671875,0.9990314245223999
56,795.0469970703125,512.658203125,0.9968473315238953
