scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
0,309.48162841796875,757.2356567382812,0.99928218126297
1,2.990363597869873,-4.360172271728516,0.00012700777733698487
2,2.990363597869873,-4.360172271728516,0.00012700777733698487
3,2.990363597869873,-4.360172271728516,0.00012700777733698487
4,309.6627197265625,757.1036987304688,0.9992517828941345
5,309.5957336425781,756.8362426757812,0.9992857575416565
6,2.990363597869873,-4.360172271728516,0.00012700777733698487
7,2.990363597869873,-4.360172271728516,0.00012700777733698487
8,2.990363597869873,-4.360172271728516,0.00012700777733698487
9,309.6627197265625,757.1036987304688,0.9992517828941345
10,309.5957336425781,756.8362426757812,0.9992857575416565
11,2.990363597869873,-4.360172271728516,0.00012700777733698487
12,2.990363597869873,-4.360172271728516,0.00012700777733698487
13,2.990363597869873,-4.360172271728516,0.00012700777733698487
14,309.6627197265625,757.1036987304688,0.9992517828941345
15,309.5957336425781,756.8362426757812,0.9992857575416565
16,2.990363597869873,-4.360172271728516,0.00012700777733698487
17,2.990363597869873,-4.360172271728516,0.00012700777733698487
18,2.990363597869873,-4.360172271728516,0.00012700777733698487
19,309.6627197265625,757.1036987304688,0.9992517828941345
20,309.5957336425781,756.8362426757812,0.9992857575416565
21,2.990363597869873,-4.360172271728516,0.00012700777733698487
22,2.990363597869873,-4.360172271728516,0.00012700777733698487
23,2.990363597869873,-4.360172271728516,0.00012700777733698487
24,309.6627197265625,757.1036987304688,0.9992517828941345
25,309.5957336425781,756.8362426757812,0.9992857575416565
26,2.990363597869873,-4.360172271728516,0.00012700777733698487
27,2.990363597869873,-4.360172271728516,0.00012700777733698487
28,309.7570495605469,757.2765502929688,0.9992425441741943
29,309.7561950683594,757.2745971679688,0.9992427825927734
30,309.8741455078125,757.1329345703125,0.999261200428009
31,309.68389892578125,757.1468505859375,0.9992689490318298
32,309.6597900390625,757.090576171875,0.9992855191230774
33,309.7314758300781,757.152099609375,0.999264657497406
34,309.73358154296875,757.126953125,0.9992641806602478
35,309.76275634765625,757.2068481445312,0.9992595314979553
36,309.8914489746094,757.4003295898438,0.9992307424545288
37,310.01763916015625,757.2977294921875,0.9992129802703857
38,309.9239807128906,757.2584228515625,0.9992249011993408
39,309.97943115234375,757.3397827148438,0.9992128610610962
40,309.9517517089844,757.3472290039062,0.9992189407348633
41,310.01116943359375,757.406982421875,0.9992213249206543
42,310.0029296875,757.419677734375,0.9992210865020752
43,309.86431884765625,757.2141723632812,0.9992358684539795
44,309.8659362792969,757.2069091796875,0.9992374181747437
45,309.84564208984375,757.1969604492188,0.9992473125457764
46,309.8896179199219,757.1605834960938,0.9992431402206421
47,309.84844970703125,757.2212524414062,0.9992399215698242
48,309.7100524902344,757.1653442382812,0.9992515444755554
49,309.8025207519531,757.204833984375,0.9992357492446899
50,309.87420654296875,757.1542358398438,0.999238133430481
51,309.8901672363281,757.1448974609375,0.9992417097091675
52,309.81494140625,757.20751953125,0.9992154836654663
53,309.7923583984375,757.2001342773438,0.9992231130599976
