scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
0,770.3246459960938,263.4911804199219,0.9987990856170654
1,770.3246459960938,263.4911804199219,0.9987990856170654
2,771.4558715820312,263.3427429199219,0.9985761642456055
3,771.0678100585938,263.4690856933594,0.998633086681366
4,2.990363597869873,-4.360172271728516,0.00012700777733698487
5,2.990363597869873,-4.360172271728516,0.00012700777733698487
6,2.990363597869873,-4.360172271728516,0.00012700777733698487
7,771.4558715820312,263.3427429199219,0.9985761642456055
8,771.0678100585938,263.4690856933594,0.998633086681366
9,2.990363597869873,-4.360172271728516,0.00012700777733698487
10,2.990363597869873,-4.360172271728516,0.00012700777733698487
11,2.990363597869873,-4.360172271728516,0.00012700777733698487
12,771.4558715820312,263.3427429199219,0.9985761642456055
13,771.0678100585938,263.4690856933594,0.998633086681366
14,2.990363597869873,-4.360172271728516,0.00012700777733698487
15,2.990363597869873,-4.360172271728516,0.00012700777733698487
16,2.990363597869873,-4.360172271728516,0.00012700777733698487
17,771.4558715820312,263.3427429199219,0.9985761642456055
18,771.0678100585938,263.4690856933594,0.998633086681366
19,2.990363597869873,-4.360172271728516,0.00012700777733698487
20,2.990363597869873,-4.360172271728516,0.00012700777733698487
21,2.990363597869873,-4.360172271728516,0.00012700777733698487
22,771.4558715820312,263.3427429199219,0.9985761642456055
23,771.0678100585938,263.4690856933594,0.998633086681366
24,2.990363597869873,-4.360172271728516,0.00012700777733698487
25,2.990363597869873,-4.360172271728516,0.00012700777733698487
26,2.990363597869873,-4.360172271728516,0.00012700777733698487
27,771.4558715820312,263.3427429199219,0.9985761642456055
28,771.0678100585938,263.4690856933594,0.998633086681366
29,2.990363597869873,-4.360172271728516,0.00012700777733698487
30,2.990363597869873,-4.360172271728516,0.00012700777733698487
31,770.0949096679688,263.4342041015625,0.9988000392913818
32,770.0989379882812,263.4549865722656,0.998786985874176
33,770.2877807617188,263.4304504394531,0.9988032579421997
34,770.2565307617188,263.5603942871094,0.998755693435669
35,769.89697265625,263.5498046875,0.9987962245941162
36,769.931396484375,263.176513671875,0.9988120794296265
37,769.949951171875,263.21368408203125,0.9987980127334595
38,770.1342163085938,263.2693176269531,0.9987726807594299
39,770.22607421875,263.41650390625,0.9987152814865112
40,769.9883422851562,263.39324951171875,0.9986816048622131
41,770.1231079101562,263.4469909667969,0.9986812472343445
42,770.2200317382812,263.2955017089844,0.998745322227478
43,770.271484375,263.310791015625,0.9987309575080872
44,770.1091918945312,263.3191833496094,0.9987296462059021
45,770.1012573242188,263.19287109375,0.9987983703613281
46,770.2637329101562,263.39544677734375,0.9987565279006958
47,770.248779296875,263.3914794921875,0.9987673759460449
48,770.145263671875,263.3459777832031,0.9987618923187256
49,770.0275268554688,263.455322265625,0.9987647533416748
50,770.0454711914062,263.4808654785156,0.9988136291503906
51,770.5443115234375,263.41204833984375,0.9988166093826294
52,770.5619506835938,263.4777526855469,0.998808741569519
53,770.44140625,263.3490905761719,0.9988911747932434
